Phantom Regiment,2013-07-05,"Chester, PA",31.500,23.850,23.250,78.600,78.600,0.000
Bluecoats,2013-07-05,"Chester, PA",31.900,22.950,23.450,78.300,78.300,0.000
Boston Crusaders,2013-07-05,"Chester, PA",30.600,22.150,22.150,74.900,74.900,0.000
Jersey Surf,2013-07-05,"Chester, PA",26.300,19.750,19.300,65.350,65.350,0.000
Blue Knights,2013-07-05,"Denver, CO",29.600,22.500,22.550,74.650,74.650,0.000
Carolina Crown,2013-07-05,"Denver, CO",33.400,24.950,24.800,83.150,83.150,0.000
Blue Devils,2013-07-05,"Denver, CO",33.000,24.650,25.000,82.650,82.650,0.000
Santa Clara Vanguard,2013-07-05,"Denver, CO",32.100,23.950,24.300,80.350,80.350,0.000
The Academy,2013-07-05,"Denver, CO",27.100,20.450,20.800,68.350,68.350,0.000
Troopers,2013-07-05,"Denver, CO",28.500,21.300,21.750,71.550,71.550,0.000
Seattle Cascades,2013-07-05,"Denver, CO",22.600,17.250,17.550,57.400,57.400,0.000
The Cavaliers,2013-07-05,"Michigan City, IN",32.000,23.750,23.000,78.750,78.750,0.000
Madison Scouts,2013-07-05,"Michigan City, IN",32.000,23.650,23.550,79.200,79.200,0.000
Spirit of Atlanta,2013-07-05,"Michigan City, IN",30.500,22.550,22.550,75.600,75.600,0.000
Crossmen,2013-07-05,"Michigan City, IN",29.400,21.500,21.600,72.500,72.500,0.000
Blue Stars,2013-07-05,"Michigan City, IN",28.500,21.800,22.250,72.550,72.550,0.000
The Cavaliers,2013-07-06,"Lisle, IL",30.500,23.750,22.750,77.000,77.000,0.000
Crossmen,2013-07-06,"Lisle, IL",29.100,21.850,21.800,72.750,72.750,0.000
Spirit of Atlanta,2013-07-06,"Lisle, IL",30.000,22.200,22.650,74.850,74.850,0.000
Blue Stars,2013-07-06,"Lisle, IL",28.600,21.750,22.450,72.800,72.800,0.000
Phantom Regiment,2013-07-06,"Chambersburg, PA",31.600,23.900,23.800,79.300,79.300,0.000
Bluecoats,2013-07-06,"Chambersburg, PA",31.400,23.100,24.300,78.800,78.800,0.000
Boston Crusaders,2013-07-06,"Chambersburg, PA",29.000,22.400,22.550,73.950,73.950,0.000
Mandarins,2013-07-06,"Pleasant Hill, CA",28.900,20.950,21.600,71.450,71.450,0.000
Blue Devils,2013-07-07,"Omaha, NE",32.700,24.950,25.000,82.650,82.650,0.000
Carolina Crown,2013-07-07,"Omaha, NE",33.100,25.200,25.000,83.300,83.300,0.000
